,0
1659,DUSP16
1660,OTOP3
1661,PTCH1
1662,ARID3B
1663,ADAMTS7
1664,FANCI
1665,PDE1B
1666,GH2
1667,BCL6B
1668,SLC25A39
1669,SAMHD1
1670,ING1
1671,NOP14
1672,LAMC1
1673,RAD54L
1674,ADAMTS5
1675,ERCC4
1676,DDC
1677,CPSF6
1678,DHX58
1679,SCN3B
1680,SLC4A4
1681,SIX4
1682,HSP90AB1
1683,FBN1
1684,BOC
1685,CADPS2
1686,TAOK1
1687,ACTR8
1688,PARP1
1689,MYBPC2
1690,ZNF366
1691,TCF4
1692,CHD8
1693,SSX2IP
