AGID02155,AGID02155,NOTCH1,NOTCH1
AGID00340,AGID00340,Notch1-cleaved,NOTCH1
AGID00087,AGID00087,Notch3,NOTCH3
AGID00258,AGID00258,NQO1,NQO1
AGID00162,AGID00162,NRAS,NRAS
AGID00257,AGID00257,NRF2,NFE2L2
AGID00297,AGID00297,Oct-4,POU5F1
AGID00420,AGID00420,P16INK4A,CDKN2A
AGID00384,AGID00384,P21,CDKN1A
AGID00105,AGID00105,P27,CDKN1B
AGID00096,AGID00096,P27_pT157,CDKN1B
AGID00099,AGID00099,P27_pT198,CDKN1B
AGID00181,AGID00181,p38-a,MAPK14
AGID00098,AGID00098,P38_pT180Y182,MAPK11
AGID00098,AGID00098,P38_pT180Y182,MAPK12
AGID00098,AGID00098,P38_pT180Y182,MAPK13
AGID00098,AGID00098,P38_pT180Y182,MAPK14
AGID00049,AGID00049,P38MAPK,MAPK11
AGID00049,AGID00049,P38MAPK,MAPK12
AGID00049,AGID00049,P38MAPK,MAPK14
AGID00151,AGID00151,p44-42-MAPK,MAPK1
AGID00151,AGID00151,p44-42-MAPK,MAPK3
AGID00050,AGID00050,P53,TP53
AGID00490,AGID00490,P62LCKLIGAND,SQSTM1
AGID00545,AGID00545,P63,TP63
AGID00052,AGID00052,P70S6K_pT389,RPS6KB1
AGID00051,AGID00051,P70S6K1,RPS6KB1
AGID00085,AGID00085,P90RSK,RPS6KA1
AGID00085,AGID00085,P90RSK,RPS6KA2
AGID00085,AGID00085,P90RSK,RPS6KA3
AGID00531,AGID00531,P90RSK_pT359S363,RPS6KA1
AGID00182,AGID00182,p90RSK_pT573,RPS6KA1
AGID00053,AGID00053,PAI1,SERPINE1
AGID00224,AGID00224,PAICS,PAICS
AGID00323,AGID00323,PAK1,PAK1
AGID02199,AGID02199,PAK4,PAK4
AGID00245,AGID00245,PAR,<poly(ADP-ribose)>
AGID00374,AGID00374,PARG,PARG
AGID00370,AGID00370,PARP1,PARP1
AGID00468,AGID00468,PARPCLEAVED,PARP1
AGID00274,AGID00274,Patched,PTCH1
AGID00513,AGID00513,PAX6,PAX6
AGID00441,AGID00441,PAX8,PAX8
AGID00054,AGID00054,PAXILLIN,PXN
AGID00055,AGID00055,PCADHERIN,CDH3
AGID00248,AGID00248,PCNA,PCNA
AGID00413,AGID00413,PDCD1,PDCD1
AGID00094,AGID00094,PDCD4,PDCD4
AGID00385,AGID00385,PDGFRB,PDGFRB
AGID00210,AGID00210,PDH,DLAT
AGID00324,AGID00324,PDHA1,PDHA1
AGID00280,AGID00280,PDHK1,PDK1
AGID00056,AGID00056,PDK1,PDPK1
AGID00057,AGID00057,PDK1_pS241,PDPK1
AGID00300,AGID00300,PDL1,CD274
AGID00124,AGID00124,PEA15,PEA15
AGID00125,AGID00125,PEA15_pS116,PEA15
AGID00440,AGID00440,PERK,EIF2AK3
AGID02207,AGID02207,PGM1,PGM1
AGID00281,AGID00281,PHGDH,PHGDH
AGID00425,AGID00425,PHLPP,PHLPP1
AGID00226,AGID00226,PI3K-p110-b,PIK3CB
AGID00093,AGID00093,PI3KP110ALPHA,PIK3CA
AGID00058,AGID00058,PI3KP85,PIK3R1
AGID00296,AGID00296,PKA-a,PRKAR1A
